Line,production day,shift,from,till,Code,Stof-Snelheid-Profiel,IO parts,NIO parts
103,3/10/2022,early,10/03/22 5:55,10/03/22 13:55,3005,FX-16m-37.xxx,6929,1313
103,3/10/2022,late,10/03/22 13:55,10/03/22 15:19,3005,FX-16m-37.xxx,1290,165
103,3/10/2022,late,10/03/22 15:19,10/03/22 21:55,3058,ND-22m-143.xxx,3968,1883
103,3/10/2022,night,10/03/22 21:55,11/03/22 5:55,3058,ND-22m-143.xxx,9872,1045
103,3/11/2022,early,11/03/22 5:55,11/03/22 13:55,3058,ND-22m-143.xxx,9418,1496
103,3/11/2022,late,11/03/22 13:55,11/03/22 21:55,3058,ND-22m-143.xxx,9712,1071
103,3/11/2022,night,11/03/22 21:55,12/03/22 5:55,3058,ND-22m-143.xxx,9124,1790
103,3/12/2022,early,12/03/22 5:55,12/03/22 13:10,3058,ND-22m-143.xxx,7698,2001
103,3/12/2022,early,12/03/22 13:10,12/03/22 13:55,3052,NU-22m-68.xxx,0,0
103,3/13/2022,night,13/03/22 21:55,14/03/22 5:55,3052,NU-22m-68.xxx,9404,1547
103,3/14/2022,early,14/03/22 5:55,14/03/22 9:34,3052,NU-22m-68.xxx,4610,549
103,3/14/2022,early,14/03/22 9:34,14/03/22 13:55,3053,NU-20m-80.xx,4485,738
103,3/14/2022,late,14/03/22 13:55,14/03/22 21:55,3053,NU-20m-80.xx,8662,1465
103,3/14/2022,night,14/03/22 21:55,15/03/22 5:55,3053,NU-20m-80.xx,9346,781
103,3/15/2022,early,15/03/22 5:55,15/03/22 13:55,3053,NU-20m-80.xx,8822,1307
103,3/15/2022,late,15/03/22 13:55,15/03/22 21:55,3053,NU-20m-80.xx,9370,757
103,3/15/2022,night,15/03/22 21:55,16/03/22 3:25,3053,NU-20m-80.xx,6545,439
103,3/15/2022,night,16/03/22 3:25,16/03/22 5:55,3005,FX-16m-37.xxx,0,0
103,3/16/2022,early,16/03/22 5:55,16/03/22 13:55,3005,FX-16m-37.xxx,6537,1330
103,3/16/2022,late,16/03/22 13:55,16/03/22 21:55,3005,FX-16m-37.xxx,2722,2158
103,3/16/2022,night,16/03/22 21:55,17/03/22 5:55,3005,FX-16m-37.xxx,5510,2240
103,3/17/2022,early,17/03/22 5:55,17/03/22 13:55,3005,FX-16m-37.xxx,6370,1582
103,3/17/2022,late,17/03/22 13:55,17/03/22 21:55,3005,FX-16m-37.xxx,6559,1532
103,3/17/2022,night,17/03/22 21:55,18/03/22 5:55,3005,FX-16m-37.xxx,6490,1404
103,3/18/2022,early,18/03/22 5:55,18/03/22 13:55,3004,FX-14m-18.xx,0,0
103,3/18/2022,late,18/03/22 13:55,18/03/22 21:55,3004,FX-14m-18.xx,5040,2094
103,3/18/2022,night,18/03/22 21:55,19/03/22 5:55,3004,FX-14m-18.xx,4580,2429
103,3/19/2022,early,19/03/22 5:55,19/03/22 12:29,3004,FX-14m-18.xx,3388,2586
103,3/19/2022,early,19/03/22 12:29,19/03/22 13:55,3005,FX-16m-37.xxx,0,0
103,3/20/2022,night,20/03/22 21:55,21/03/22 5:55,3005,FX-16m-37.xxx,4696,2971
103,3/21/2022,early,21/03/22 5:55,21/03/22 13:55,3005,FX-16m-37.xxx,5946,1373
103,3/21/2022,late,21/03/22 13:55,21/03/22 20:17,3005,FX-16m-37.xxx,5504,867
103,3/21/2022,late,21/03/22 20:17,21/03/22 21:55,3008,FX-20m-18.xx,908,821
103,3/21/2022,night,21/03/22 21:55,21/03/22 23:54,3008,FX-20m-18.xx,2353,168
103,3/21/2022,night,21/03/22 23:54,22/03/22 5:55,3007,FX-20m-37.xxx,6701,784
103,3/22/2022,early,22/03/22 5:55,22/03/22 13:55,3007,FX-20m-37.xxx,8046,1784
103,3/22/2022,late,22/03/22 13:55,22/03/22 17:19,3007,FX-20m-37.xxx,4062,249
103,3/22/2022,late,22/03/22 17:19,22/03/22 21:55,3006,FX-16m-37.xxx,2974,887
103,3/22/2022,night,22/03/22 21:55,22/03/22 22:33,3006,FX-16m-37.xxx,561,103
103,3/22/2022,night,22/03/22 22:33,23/03/22 5:55,3005,FX-16m-37.xxx,5069,2089
103,3/23/2022,early,23/03/22 5:55,23/03/22 13:55,3005,FX-16m-37.xxx,6542,1547
103,3/23/2022,late,23/03/22 13:55,23/03/22 21:55,3005,FX-16m-37.xxx,6233,1822
103,3/23/2022,night,23/03/22 21:55,24/03/22 0:11,3005,FX-16m-37.xxx,1750,546
103,3/23/2022,night,24/03/22 0:11,24/03/22 5:55,3058,ND-22m-143.xxx,2984,1819
103,3/24/2022,early,24/03/22 5:55,24/03/22 13:55,3058,ND-22m-143.xxx,8465,2497
103,3/24/2022,late,24/03/22 13:55,24/03/22 21:55,3058,ND-22m-143.xxx,9631,1388
103,3/24/2022,night,24/03/22 21:55,25/03/22 5:55,3058,ND-22m-143.xxx,9202,2024
103,3/25/2022,early,25/03/22 5:55,25/03/22 13:55,3058,ND-22m-143.xxx,10116,1110
